bookingStatus,status1Day,status2Days,status1Week,status1Month
0,0,0,0,0
42,0,0,0,0
66,0,0,1,30
36,12,12,20,26
11,0,0,0,0
58,3,3,12,18
12,5,10,11,11
39,11,15,15,19
6,1,1,1,1
92,39,41,46,58
21,10,10,17,17
4,1,1,1,1
83,14,46,52,59
26,16,18,22,22
81,38,43,48,65
0,0,0,0,0
21,4,11,11,15
1,0,0,0,0
42,17,21,27,28
108,0,28,31,49
195,0,45,56,101
66,24,25,27,38
88,0,0,8,38
25,0,7,8,10
0,0,0,0,0
88,22,55,67,69
4,0,1,1,2
149,0,0,0,1
305,0,32,51,131
11,0,0,0,5
16,0,4,4,10
69,0,0,1,21
37,13,18,21,21
21,17,18,20,20
77,0,0,0,0
41,15,15,18,23
29,0,0,0,4
6,0,2,2,5
0,0,0,0,0
38,0,0,0,12
87,0,13,16,38
74,28,28,35,42
199,0,6,14,40
27,0,0,0,0
65,0,22,27,39
45,0,0,0,18
97,13,42,46,52
91,0,0,12,35
34,0,0,0,9
33,0,8,10,18
52,2,23,26,40
61,3,17,17,29
6,0,0,0,4
10,0,0,0,0
59,39,43,45,49
11,0,7,7,8
4,0,0,0,0
67,0,6,13,38
47,0,28,31,37
54,0,0,0,26
12,0,1,1,3
25,0,0,0,0
97,17,17,51,64
63,0,0,4,17
190,0,0,28,30
20,3,3,5,6
28,3,3,3,8
45,0,8,10,25
175,0,0,0,0
37,0,0,0,6
81,18,38,44,51
20,0,0,0,0
36,0,0,0,8
66,0,0,0,24
99,0,0,0,27
19,0,0,0,1
17,0,0,0,10
232,30,43,46,66
4,0,0,0,0
3,0,2,2,3
14,0,3,8,10
14,6,7,9,10
114,0,0,5,25
65,0,0,0,14
15,0,0,9,9
34,0,1,9,23
46,0,0,0,0
25,0,20,21,24
12,0,5,5,9
132,0,19,26,69
29,0,0,0,8
0,0,0,0,0
33,2,8,12,17
18,0,0,0,9
98,0,0,0,14
64,0,0,6,31
5,0,4,4,5
79,0,0,0,35
95,25,46,58,65
17,16,17,17,17
207,24,66,91,95
91,0,9,15,31
10,0,0,0,0
